V1.0,291021
X	Y	TYPE	SPEED	DirType	Direction
64.6826559	40.9673783	1	100	1	140
64.6826345	40.9674759	1	100	1	320
64.7169500	40.9370125	1	100	1	136
64.7169285	40.9371508	1	100	1	316
64.8185650	40.8309950	1	100	1	158
64.8186615	40.8310684	1	100	1	338
64.8585200	40.7592920	1	100	1	158
64.8586166	40.7593818	1	100	1	338
64.8718603	40.7167577	1	100	1	178
64.8716135	40.7167005	1	100	1	334
64.9950362	40.5403828	1	70	1	128
64.9950577	40.5404810	1	70	1	314
65.1452525	40.2605019	1	70	1	202
65.1451345	40.2605348	1	70	1	2
65.3503620	40.1319939	1	70	1	346
65.3502333	40.1319445	1	70	1	166
65.3676938	40.1020258	1	70	1	248
65.3677474	40.1019846	1	70	1	68
69.2475670	41.3981810	1	70	1	272
69.2477279	41.3979710	1	70	1	92
69.4668140	41.0854440	1	70	1	332
69.4667231	41.0852360	1	70	1	152
69.4360050	41.1312230	1	70	1	166
69.4362885	41.1308340	1	70	1	346
69.3615120	41.2768100	1	70	1	172
65.8392711	39.9751201	1	70	1	106
66.2844750	39.9229100	1	70	1	98
66.2844536	39.9230587	1	70	1	290
66.2411062	39.9260062	1	70	1	48
66.5498472	39.9390285	1	70	1	296
66.4349297	39.9519638	1	70	1	252
66.4349940	39.9518482	1	70	1	72
65.7853052	39.9942857	1	70	1	302
65.7852408	39.9941702	1	70	1	120
65.7183747	40.0995973	1	50	1	300
65.7183425	40.0995232	1	50	1	122
65.4474710	40.1278060	1	100	1	274
65.4474925	40.1277072	1	100	1	92
64.7979153	40.0556516	1	70	1	110
64.8063411	40.0538685	1	70	1	104
64.8063304	40.0540004	1	70	1	284
64.8669930	40.0534220	1	100	1	260
65.0026871	40.1007198	1	100	1	250
65.0335244	40.1064709	1	100	1	80
65.0628260	40.1102372	1	100	1	260
65.1614590	40.1248310	1	100	1	78
65.3313817	40.1471542	1	70	1	94
65.3565830	40.1397940	1	70	1	162
65.4070190	40.1329104	1	70	1	138
59.7609890	42.8756375	1	70	1	22
59.7608173	42.8755980	1	70	1	202
69.3216280	41.3155040	1	70	1	276
69.3215958	41.3153260	1	70	1	112
65.3924375	40.1411402	1	70	1	286
65.3923731	40.1410332	1	70	1	108
68.7816706	40.4925534	1	70	1	258
59.6268000	42.3938980	1	50	1	198
59.6269000	42.3938980	1	50	1	18
67.1205340	39.7204070	1	70	1	68
67.1204374	39.7205147	1	70	1	250
69.3547073	41.2506148	1	70	1	48
69.3545678	41.2507484	1	70	1	212
67.1424159	39.7269146	1	70	1	68
67.2361580	39.7545737	1	100	1	250
67.2362331	39.7544909	1	100	1	70
67.4283039	39.8373154	1	50	1	62
67.4289359	39.8377747	1	50	1	252
67.5846944	39.9927225	1	70	1	28
68.7151952	40.6551754	1	70	1	166
68.7610888	40.4877704	1	70	1	274
68.7967909	40.5058411	1	50	1	168
68.7968767	40.5059476	1	50	1	348
68.5221300	40.5033378	1	70	1	110
68.5221515	40.5034607	1	70	1	276
67.4474020	37.5806450	1	20	1	206
65.7958593	38.8383358	3	60	1	278
65.7950761	38.8377568	3	60	1	8
65.7943251	38.8383358	3	60	1	98
65.7876411	38.8273678	3	60	1	232
65.7875016	38.8266796	3	60	1	350
65.7867613	38.8267384	3	60	1	54
65.7868042	38.8273007	3	60	1	142
65.7983815	38.8626002	3	60	1	116
65.7986926	38.8627512	3	60	1	204
65.7989715	38.8625080	3	60	1	294
65.7986980	38.8623989	3	60	1	24
65.7967674	38.8456566	3	60	1	10
65.7965636	38.8458328	3	60	1	102
65.7967460	38.8460341	3	60	1	198
65.8081075	38.8893394	1	60	1	162
65.8082148	38.8894987	1	60	1	342
65.8530786	38.8614720	1	70	1	270
65.8530786	38.8613462	1	70	1	90
65.8187533	38.8251872	1	70	1	16
65.8186407	38.8251830	1	70	1	196
65.8193984	38.8353510	3	60	1	100
65.8196023	38.8356531	3	60	1	178
65.8197310	38.8351748	3	60	1	6
65.8075967	38.8367607	3	60	1	100
65.8078756	38.8370460	3	60	1	190
65.8082833	38.8368362	3	60	1	278
65.8080044	38.8365342	3	60	1	6
65.8047534	38.8707983	3	60	1	46
65.8047051	38.8710499	3	60	1	130
65.8050109	38.8711841	3	60	1	224
65.8051718	38.8708989	3	60	1	308
65.7812949	38.8479383	3	60	1	188
65.7816383	38.8478208	3	60	1	288
65.7814451	38.8476279	3	60	1	358
65.7810911	38.8477705	3	60	1	72
66.2513500	38.6213400	3	0	1	104
66.2516000	38.6210000	3	0	1	8
66.2516000	38.6216200	3	0	1	188
66.2522000	38.6212000	3	0	1	283
66.2494890	38.6216990	1	20	1	104
66.2602050	38.6081270	1	60	1	336
66.2605730	38.6195840	1	60	1	104
66.2805230	38.6276980	1	60	1	43
